,0,1
31,2020-03-30,-22.52%
32,2020-03-23,1.82%
33,2020-03-16,-4.53%
34,2020-03-09,-3.54%
35,2020-03-02,11.22%
36,2020-02-24,-8.78%
37,2020-02-17,6.3%
38,2020-02-10,-14.71%
39,2020-02-03,-3.85%
40,2020-01-27,8.29%
41,2020-01-20,3.46%
42,2020-01-13,-2.99%
43,2020-01-06,-7.93%
44,2019-12-30,13.26%
45,2019-12-23,12.19%
46,2019-12-16,-5.88%
47,2019-12-09,-3.33%
48,2019-12-02,0.43%
49,2019-11-25,2.16%
50,2019-11-18,-9.05%
51,2019-11-11,-2.83%
52,2019-11-04,11.81%
53,2019-10-28,-12.5%
54,2019-10-21,-4.17%
55,2019-10-14,2.48%
56,2019-10-07,9.57%
57,2019-09-30,-0.43%
58,2019-09-23,-9.68%
59,2019-09-16,5.88%
60,2019-09-09,-2.29%
61,2019-09-02,10.79%
62,2019-08-26,-14.84%
63,2019-08-19,3.78%
64,2019-08-12,8.88%
65,2019-08-05,-14.06%
66,2019-07-29,-7.95%
67,2019-07-22,4.97%
68,2019-07-15,0.78%
69,2019-07-08,8.4%
70,2019-07-01,-2.13%
71,2019-06-24,4.59%
0,2019-06-17,
1,2020-11-16,-0.21%
2,2020-11-09,-8.51%
3,2020-11-02,11.47%
4,2020-10-26,-4.32%
5,2020-10-19,-6.0%
6,2020-10-12,8.59%
7,2020-10-05,-8.55%
8,2020-09-28,6.3%
9,2020-09-21,-10.29%
10,2020-09-14,4.38%
11,2020-09-07,10.16%
12,2020-08-31,3.1%
13,2020-08-24,-11.21%
14,2020-08-17,12.14%
15,2020-08-10,-24.36%
16,2020-08-03,12.43%
17,2020-07-27,-10.97%
18,2020-07-20,2.52%
19,2020-07-13,17.5%
20,2020-07-06,-12.29%
21,2020-06-29,8.58%
22,2020-06-22,-20.66%
23,2020-06-15,14.4%
24,2020-06-08,5.23%
25,2020-06-01,-0.72%
26,2020-05-25,-7.62%
27,2020-05-18,0.88%
28,2020-05-11,10.94%
29,2020-05-04,1.5%
30,2020-04-27,0.25%
31,2020-04-20,-8.42%
32,2020-04-13,13.65%
33,2020-04-06,-3.81%
34,2020-03-30,-4.72%
35,2020-03-23,-19.8%
36,2020-03-16,5.02%
37,2020-03-09,-14.1%
38,2020-03-02,16.02%
39,2020-02-24,-2.99%
40,2020-02-17,-0.89%
41,2020-02-10,-4.87%
42,2020-02-03,5.27%
43,2020-01-27,-4.68%
44,2020-01-20,2.34%
45,2020-01-13,-20.48%
46,2020-01-06,0.72%
47,2019-12-30,18.94%
48,2019-12-23,6.52%
49,2019-12-16,1.92%
50,2019-12-09,-5.64%
51,2019-12-02,3.02%
52,2019-11-25,-16.03%
53,2019-11-18,-2.27%
54,2019-11-11,8.47%
55,2019-11-04,-6.39%
56,2019-10-28,4.55%
57,2019-10-21,-12.8%
58,2019-10-14,16.15%
59,2019-10-07,1.61%
60,2019-09-30,-20.75%
61,2019-09-23,6.95%
62,2019-09-16,-2.7%
63,2019-09-09,13.94%
64,2019-09-02,-5.16%
65,2019-08-26,-9.6%
66,2019-08-19,-2.44%
67,2019-08-12,-4.17%
68,2019-08-05,6.68%
