,0,1
42,2019-08-19,-13.55%
43,2019-08-12,18.25%
44,2019-08-05,
45,2019-07-08,-7.56%
46,2019-07-01,7.81%
47,2019-06-24,-23.31%
48,2019-06-17,4.12%
49,2019-06-10,13.26%
50,2019-06-03,-14.05%
51,2019-05-27,10.14%
52,2019-05-20,-4.03%
53,2019-05-13,
54,2019-03-25,-13.11%
55,2019-03-18,-7.25%
56,2019-03-11,23.65%
57,2019-03-04,-18.14%
58,2019-02-25,-17.6%
59,2019-02-18,16.24%
60,2019-02-11,-15.21%
61,2019-02-04,6.93%
62,2019-01-28,3.9%
63,2019-01-21,1.11%
64,2019-01-14,-4.85%
65,2019-01-07,1.42%
66,2018-12-31,24.91%
67,2018-12-24,-46.63%
68,2018-12-17,9.51%
69,2018-12-10,13.77%
70,2018-12-03,-28.99%
71,2018-11-26,6.19%
72,2018-11-19,-7.99%
73,2018-11-12,-0.64%
74,2018-11-05,29.07%
75,2018-10-29,-13.51%
76,2018-10-22,-14.68%
77,2018-10-15,-0.69%
78,2018-10-08,18.9%
79,2018-10-01,-20.34%
80,2018-09-24,16.2%
81,2018-09-17,8.4%
82,2018-09-10,-33.94%
83,2018-09-03,18.49%
84,2018-08-27,-13.03%
85,2018-08-20,-6.69%
86,2018-08-13,2.09%
87,2018-08-06,18.51%
88,2018-07-30,-19.21%
89,2018-07-23,1.1%
90,2018-07-16,19.26%
91,2018-07-09,-14.22%
92,2018-07-02,4.42%
93,2018-06-25,-15.97%
94,2018-06-18,-0.36%
95,2018-06-11,-4.33%
96,2018-06-04,-0.35%
97,2018-05-28,17.93%
98,2018-05-21,-0.84%
99,2018-05-14,-9.58%
100,2018-05-07,1.9%
101,2018-04-30,-14.73%
102,2018-04-23,0.0%
103,2018-04-16,23.65%
104,2018-04-09,
105,2018-03-26,8.05%
106,2018-03-19,-19.35%
107,2018-03-12,3.09%
108,2018-03-05,-9.96%
109,2018-02-26,24.28%
110,2018-02-19,-8.61%
111,2018-02-12,-7.05%
112,2018-02-05,-18.93%
113,2018-01-29,10.73%
114,2018-01-22,
115,2018-01-08,-3.26%
0,2018-01-01,
1,2020-11-09,0.97%
2,2020-11-02,8.79%
3,2020-10-26,-17.14%
4,2020-10-19,3.05%
5,2020-10-12,11.32%
6,2020-10-05,-19.5%
7,2020-09-28,-2.67%
8,2020-09-21,-12.72%
9,2020-09-14,2.56%
10,2020-09-07,20.79%
11,2020-08-31,-5.65%
12,2020-08-24,-16.98%
13,2020-08-17,15.59%
14,2020-08-10,-11.46%
15,2020-08-03,22.29%
16,2020-07-27,-7.35%
17,2020-07-20,-19.52%
18,2020-07-13,18.91%
19,2020-07-06,-0.35%
20,2020-06-29,-25.35%
21,2020-06-22,2.53%
22,2020-06-15,16.43%
23,2020-06-08,-9.66%
24,2020-06-01,11.95%
25,2020-05-25,-16.79%
26,2020-05-18,11.01%
27,2020-05-11,8.93%
28,2020-05-04,-12.83%
29,2020-04-27,-6.35%
30,2020-04-20,10.06%
31,2020-04-13,5.24%
32,2020-04-06,-1.48%
33,2020-03-30,-6.18%
34,2020-03-23,2.4%
35,2020-03-16,3.16%
36,2020-03-09,-15.58%
37,2020-03-02,29.47%
38,2020-02-24,-20.0%
39,2020-02-17,13.33%
40,2020-02-10,-28.63%
41,2020-02-03,0.0%
42,2020-01-27,22.92%
43,2020-01-20,-14.66%
44,2020-01-13,-1.5%
45,2020-01-06,-0.37%
46,2019-12-30,-1.48%
47,2019-12-23,0.0%
48,2019-12-16,
49,2018-01-08,12.58%
50,2018-01-01,7.19%
51,2017-12-25,-0.78%
52,2017-12-18,-29.62%
53,2017-12-11,24.63%
54,2017-12-04,-14.57%
0,2017-11-27,
1,2020-11-09,17.95%
2,2020-11-02,-8.12%
3,2020-10-26,10.98%
4,2020-10-19,-4.55%
5,2020-10-12,-21.12%
6,2020-10-05,-33.33%
7,2020-09-28,3.85%
8,2020-09-21,22.4%
9,2020-09-14,-44.85%
10,2020-09-07,19.57%
11,2020-08-31,4.42%
12,2020-08-24,-10.65%
13,2020-08-17,-1.67%
14,2020-08-10,17.28%
15,2020-08-03,-0.5%
16,2020-07-27,10.89%
17,2020-07-20,-28.33%
18,2020-07-13,-22.51%
19,2020-07-06,25.09%
20,2020-06-29,-9.91%
21,2020-06-22,18.03%
22,2020-06-15,-16.75%
23,2020-06-08,2.24%
24,2020-06-01,23.39%
25,2020-05-25,3.59%
26,2020-05-18,-9.32%
27,2020-05-11,-8.52%
28,2020-05-04,-33.51%
29,2020-04-27,-5.49%
30,2020-04-20,16.73%
31,2020-04-13,5.36%
32,2020-04-06,-14.15%
33,2020-03-30,4.55%
34,2020-03-23,-8.23%
35,2020-03-16,-1.2%
36,2020-03-09,26.09%
37,2020-03-02,-34.22%
38,2020-02-24,17.93%
39,2020-02-17,-6.31%
40,2020-02-10,17.81%
41,2020-02-03,-28.89%
42,2020-01-27,10.34%
43,2020-01-20,-35.1%
44,2020-01-13,25.98%
45,2020-01-06,-17.31%
46,2019-12-30,32.38%
47,2019-12-23,-29.09%
48,2019-12-16,-5.16%
49,2019-12-09,-0.89%
50,2019-12-02,24.34%
51,2019-11-25,-54.39%
52,2019-11-18,21.97%
53,2019-11-11,-14.56%
54,2019-11-04,40.25%
55,2019-10-28,-53.9%
56,2019-10-21,8.76%
57,2019-10-14,-45.45%
58,2019-10-07,14.93%
59,2019-09-30,-4.08%
60,2019-09-23,11.37%
61,2019-09-16,-35.84%
62,2019-09-09,18.89%
63,2019-09-02,-1.61%
64,2019-08-26,16.21%
65,2019-08-19,-3.3%
66,2019-08-12,2.28%
67,2019-08-05,-38.79%
68,2019-07-29,10.44%
69,2019-07-22,26.69%
70,2019-07-15,-19.49%
71,2019-07-08,6.01%
72,2019-07-01,-0.46%
73,2019-06-24,19.55%
74,2019-06-17,-53.11%
75,2019-06-10,25.09%
76,2019-06-03,9.36%
77,2019-05-27,-2.17%
78,2019-05-20,-41.49%
79,2019-05-13,9.4%
80,2019-05-06,-2.49%
81,2019-04-29,-6.88%
82,2019-04-22,16.29%
83,2019-04-15,-7.69%
84,2019-04-08,11.76%
85,2019-04-01,-14.29%
86,2019-03-25,-7.5%
87,2019-03-18,4.26%
88,2019-03-11,2.02%
89,2019-03-04,-19.83%
90,2019-02-25,26.9%
91,2019-02-18,13.21%
92,2019-02-11,-7.61%
93,2019-02-04,-19.19%
94,2019-01-28,4.24%
95,2019-01-21,-10.18%
96,2019-01-14,-6.43%
97,2019-01-07,29.43%
98,2018-12-31,-9.63%
99,2018-12-24,-13.66%
100,2018-12-17,-9.01%
101,2018-12-10,1.57%
102,2018-12-03,26.8%
103,2018-11-26,0.55%
104,2018-11-19,-24.18%
105,2018-11-12,19.91%
106,2018-11-05,-38.12%
107,2018-10-29,32.0%
108,2018-10-22,-14.12%
109,2018-10-15,8.25%
110,2018-10-08,-42.7%
111,2018-10-01,-1.18%
112,2018-09-24,8.17%
113,2018-09-17,19.07%
114,2018-09-10,14.14%
115,2018-09-03,-5.49%
116,2018-08-27,-37.57%
117,2018-08-20,20.59%
118,2018-08-13,
119,2018-07-30,
120,2018-07-16,23.72%
121,2018-07-09,-37.82%
122,2018-07-02,34.21%
123,2018-06-25,-22.29%
124,2018-06-18,23.83%
125,2018-06-11,-20.25%
126,2018-06-04,21.94%
127,2018-05-28,-43.14%
128,2018-05-21,7.76%
129,2018-05-14,-11.88%
130,2018-05-07,18.14%
131,2018-04-30,-10.81%
132,2018-04-23,16.1%
133,2018-04-16,-30.81%
134,2018-04-09,-10.67%
135,2018-04-02,13.65%
136,2018-03-26,2.79%
137,2018-03-19,5.74%
138,2018-03-12,-8.12%
139,2018-03-05,1.88%
140,2018-02-26,0.0%
141,2018-02-19,1.44%
142,2018-02-12,-23.3%
143,2018-02-05,11.81%
144,2018-01-29,-8.93%
145,2018-01-22,13.93%
146,2018-01-15,5.24%
147,2018-01-08,-9.55%
148,2018-01-01,-13.76%
149,2017-12-25,12.5%
150,2017-12-18,-22.58%
151,2017-12-11,10.9%
152,2017-12-04,-10.97%
0,2017-11-27,
1,2020-11-09,18.61%
2,2020-11-02,7.17%
3,2020-10-26,-9.18%
4,2020-10-19,-8.41%
5,2020-10-12,-5.31%
6,2020-10-05,7.75%
7,2020-09-28,-5.46%
8,2020-09-21,0.0%
9,2020-09-14,11.16%
10,2020-09-07,-5.38%
11,2020-08-31,-4.68%
12,2020-08-24,17.07%
13,2020-08-17,-44.61%
14,2020-08-10,9.49%
15,2020-08-03,1.5%
16,2020-07-27,3.8%
17,2020-07-20,15.81%
18,2020-07-13,8.92%
19,2020-07-06,-9.79%
20,2020-06-29,-30.52%
21,2020-06-22,-5.4%
22,2020-06-15,14.68%
23,2020-06-08,2.8%
24,2020-06-01,-16.87%
25,2020-05-25,9.15%
26,2020-05-18,15.12%
27,2020-05-11,0.91%
28,2020-05-04,-6.45%
29,2020-04-27,12.55%
30,2020-04-20,-14.36%
31,2020-04-13,-26.84%
32,2020-04-06,20.48%
33,2020-03-30,12.88%
34,2020-03-23,-4.93%
35,2020-03-16,3.76%
36,2020-03-09,-23.41%
37,2020-03-02,22.13%
38,2020-02-24,3.05%
39,2020-02-17,-34.03%
40,2020-02-10,-6.64%
41,2020-02-03,-2.56%
42,2020-01-27,3.21%
43,2020-01-20,21.77%
44,2020-01-13,-24.06%
45,2020-01-06,6.84%
46,2019-12-30,23.27%
47,2019-12-23,-32.45%
48,2019-12-16,0.0%
49,2019-12-09,6.43%
50,2019-12-02,14.59%
51,2019-11-25,-9.05%
52,2019-11-18,10.14%
53,2019-11-11,-21.54%
54,2019-11-04,-5.49%
55,2019-10-28,12.4%
56,2019-10-21,-41.1%
57,2019-10-14,22.01%
58,2019-10-07,-21.16%
59,2019-09-30,-6.16%
60,2019-09-23,18.06%
61,2019-09-16,-1.97%
62,2019-09-09,-20.46%
63,2019-09-02,
64,2019-08-19,10.29%
65,2019-08-12,-2.51%
66,2019-08-05,17.13%
67,2019-07-29,-10.13%
68,2019-07-22,-7.28%
69,2019-07-15,-1.43%
70,2019-07-08,-4.93%
71,2019-07-01,10.4%
72,2019-06-24,4.49%
73,2019-06-17,-21.96%
74,2019-06-10,-0.64%
75,2019-06-03,19.17%
76,2019-05-27,-23.32%
77,2019-05-20,20.51%
78,2019-05-13,-4.03%
79,2019-05-06,1.94%
80,2019-04-29,-3.56%
81,2019-04-22,8.4%
82,2019-04-15,-33.33%
83,2019-04-08,9.69%
84,2019-04-01,0.69%
85,2019-03-25,5.23%
86,2019-03-18,-10.66%
87,2019-03-11,13.29%
88,2019-03-04,-19.16%
89,2019-02-25,-1.61%
90,2019-02-18,26.58%
91,2019-02-11,-31.47%
92,2019-02-04,
93,2019-01-21,25.16%
94,2019-01-14,-39.66%
95,2019-01-07,17.59%
96,2018-12-31,10.86%
97,2018-12-24,-5.04%
98,2018-12-17,2.4%
99,2018-12-10,-26.23%
100,2018-12-03,19.48%
101,2018-11-26,-6.45%
102,2018-11-19,-4.92%
103,2018-11-12,-0.36%
104,2018-11-05,12.23%
105,2018-10-29,-12.7%
106,2018-10-22,16.73%
107,2018-10-15,-6.55%
108,2018-10-08,4.51%
109,2018-10-01,-35.19%
110,2018-09-24,0.63%
111,2018-09-17,23.64%
112,2018-09-10,-17.57%
113,2018-09-03,-6.05%
114,2018-08-27,15.44%
115,2018-08-20,1.19%
116,2018-08-13,14.46%
117,2018-08-06,-11.27%
118,2018-07-30,-29.54%
119,2018-07-23,6.51%
120,2018-07-16,-0.35%
121,2018-07-09,7.29%
122,2018-07-02,-3.0%
123,2018-06-25,17.82%
124,2018-06-18,0.44%
125,2018-06-11,-25.33%
126,2018-06-04,7.45%
127,2018-05-28,-13.79%
128,2018-05-21,9.76%
129,2018-05-14,-12.69%
130,2018-05-07,21.85%
131,2018-04-30,-16.53%
132,2018-04-23,17.82%
133,2018-04-16,3.98%
134,2018-04-09,-29.95%
135,2018-04-02,-1.06%
136,2018-03-26,1.4%
137,2018-03-19,-1.07%
138,2018-03-12,2.46%
139,2018-03-05,-4.69%
140,2018-02-26,8.97%
141,2018-02-19,9.09%
142,2018-02-12,-7.5%
143,2018-02-05,-9.3%
144,2018-01-29,4.26%
145,2018-01-22,-13.33%
146,2018-01-15,-6.54%
147,2018-01-08,12.58%
148,2018-01-01,1.75%
149,2017-12-25,-2.5%
150,2017-12-18,-5.23%
151,2017-12-11,11.26%
152,2017-12-04,-7.84%
0,2017-11-27,
1,2020-11-09,20.0%
2,2020-11-02,-16.51%
3,2020-10-26,-2.83%
4,2020-10-19,22.44%
5,2020-10-12,-49.24%
6,2020-10-05,8.84%
7,2020-09-28,1.12%
8,2020-09-21,3.02%
9,2020-09-14,-10.51%
10,2020-09-07,15.49%
11,2020-08-31,-28.33%
12,2020-08-24,32.47%
13,2020-08-17,-41.35%
14,2020-08-10,-0.68%
15,2020-08-03,-4.73%
16,2020-07-27,11.94%
17,2020-07-20,7.69%
18,2020-07-13,-18.25%
19,2020-07-06,15.1%
20,2020-06-29,-15.02%
21,2020-06-22,-1.37%
22,2020-06-15,-9.15%
23,2020-06-08,19.25%
24,2020-06-01,11.15%
25,2020-05-25,-3.03%
26,2020-05-18,
27,2020-05-04,-2.52%
28,2020-04-27,20.0%
29,2020-04-20,-0.88%
30,2020-04-13,
31,2020-03-30,32.85%
32,2020-03-23,0.87%
33,2020-03-16,
34,2020-02-24,5.53%
35,2020-02-17,-15.77%
36,2020-02-10,20.62%
37,2020-02-03,-47.55%
38,2020-01-27,
39,2019-12-02,
40,2019-11-18,-20.08%
41,2019-11-11,-3.07%
42,2019-11-04,10.93%
43,2019-10-28,-12.27%
44,2019-10-21,10.6%
45,2019-10-14,1.85%
46,2019-10-07,5.28%
47,2019-09-30,-0.4%
48,2019-09-23,-12.3%
49,2019-09-16,-0.35%
50,2019-09-09,-5.99%
51,2019-09-02,-4.65%
52,2019-08-26,17.14%
53,2019-08-19,17.62%
54,2019-08-12,-0.47%
55,2019-08-05,-11.11%
56,2019-07-29,6.67%
57,2019-07-22,-30.8%
58,2019-07-15,-2.05%
59,2019-07-08,14.72%
60,2019-07-01,13.73%
61,2019-06-24,-31.82%
62,2019-06-17,22.41%
63,2019-06-10,-24.44%
64,2019-06-03,19.29%
65,2019-05-27,-15.93%
66,2019-05-20,17.94%
67,2019-05-13,-11.63%
68,2019-05-06,1.25%
69,2019-04-29,-0.42%
70,2019-04-22,-15.97%
71,2019-04-15,21.74%
72,2019-04-08,-36.11%
73,2019-04-01,5.78%
74,2019-03-25,13.36%
75,2019-03-18,2.92%
76,2019-03-11,-31.76%
77,2019-03-04,0.98%
78,2019-02-25,14.8%
79,2019-02-18,-8.49%
80,2019-02-11,-8.19%
81,2019-02-04,19.08%
82,2019-01-28,-7.72%
83,2019-01-21,-0.38%
84,2019-01-14,-20.68%
85,2019-01-07,-2.18%
86,2018-12-31,11.28%
87,2018-12-24,-9.62%
88,2018-12-17,
89,2018-11-05,23.34%
90,2018-10-29,-33.18%
91,2018-10-22,20.82%
92,2018-10-15,-31.9%
93,2018-10-08,7.84%
94,2018-10-01,-2.48%
95,2018-09-24,3.46%
96,2018-09-17,16.13%
97,2018-09-10,0.85%
98,2018-09-03,-0.43%
99,2018-08-27,-6.87%
100,2018-08-20,4.02%
101,2018-08-13,-13.81%
102,2018-08-06,15.44%
103,2018-07-30,-2.17%
104,2018-07-23,-15.32%
105,2018-07-16,18.08%
106,2018-07-09,-25.23%
107,2018-07-02,3.6%
108,2018-06-25,-17.16%
109,2018-06-18,1.59%
110,2018-06-11,-0.65%
111,2018-06-04,5.47%
112,2018-05-28,-0.34%
113,2018-05-21,11.86%
114,2018-05-14,-5.0%
115,2018-05-07,-7.33%
116,2018-04-30,3.41%
117,2018-04-23,-7.07%
118,2018-04-16,21.12%
119,2018-04-09,-7.11%
120,2018-04-02,-8.59%
121,2018-03-26,-7.19%
122,2018-03-19,17.79%
123,2018-03-12,-25.71%
124,2018-03-05,22.08%
125,2018-02-26,8.75%
126,2018-02-19,-3.65%
127,2018-02-12,15.42%
128,2018-02-05,-39.58%
129,2018-01-29,2.99%
130,2018-01-22,16.54%
131,2018-01-15,15.67%
132,2018-01-08,-15.85%
133,2018-01-01,1.42%
134,2017-12-25,7.18%
135,2017-12-18,4.12%
136,2017-12-11,-29.57%
137,2017-12-04,0.41%
0,2017-11-27,
1,2020-11-09,-10.08%
2,2020-11-02,13.55%
3,2020-10-26,-31.36%
4,2020-10-19,7.1%
5,2020-10-12,-2.08%
6,2020-10-05,7.48%
7,2020-09-28,0.74%
8,2020-09-21,-1.48%
9,2020-09-14,7.3%
10,2020-09-07,7.48%
11,2020-08-31,-19.57%
12,2020-08-24,-10.32%
13,2020-08-17,13.23%
14,2020-08-10,-8.55%
15,2020-08-03,22.6%
16,2020-07-27,-14.6%
17,2020-07-20,-11.58%
18,2020-07-13,
19,2020-06-29,-8.21%
20,2020-06-22,0.34%
21,2020-06-15,27.68%
22,2020-06-08,-2.87%
23,2020-06-01,-14.88%
24,2020-05-25,-12.55%
25,2020-05-18,3.6%
26,2020-05-11,3.36%
27,2020-05-04,8.11%
28,2020-04-27,10.08%
29,2020-04-20,-24.3%
30,2020-04-13,27.07%
31,2020-04-06,-7.22%
32,2020-03-30,-18.27%
33,2020-03-23,-10.16%
34,2020-03-16,22.14%
35,2020-03-09,-2.37%
36,2020-03-02,12.04%
37,2020-02-24,-10.53%
38,2020-02-17,13.33%
39,2020-02-10,-7.69%
40,2020-02-03,-9.18%
41,2020-01-27,3.74%
42,2020-01-20,-18.45%
43,2020-01-13,26.64%
44,2020-01-06,-47.49%
45,2019-12-30,22.35%
46,2019-12-23,5.37%
47,2019-12-16,-39.18%
48,2019-12-09,-0.74%
49,2019-12-02,2.57%
50,2019-11-25,-1.51%
51,2019-11-18,17.47%
52,2019-11-11,-3.6%
53,2019-11-04,-27.39%
54,2019-10-28,21.5%
55,2019-10-21,-45.65%
56,2019-10-14,28.06%
57,2019-10-07,-39.0%
58,2019-09-30,24.48%
59,2019-09-23,-26.09%
60,2019-09-16,13.79%
61,2019-09-09,6.91%
62,2019-09-02,6.25%
63,2019-08-26,-30.0%
64,2019-08-19,5.13%
65,2019-08-12,-3.72%
66,2019-08-05,
67,2019-07-22,
68,2019-07-08,
69,2019-06-17,24.18%
70,2019-06-10,6.47%
71,2019-06-03,-27.65%
72,2019-05-27,-0.72%
73,2019-05-20,-1.79%
74,2019-05-13,-7.04%
75,2019-05-06,13.82%
76,2019-04-29,-16.79%
77,2019-04-22,-0.65%
78,2019-04-15,16.88%
79,2019-04-08,16.8%
80,2019-04-01,10.33%
81,2019-03-25,-30.37%
82,2019-03-18,21.29%
83,2019-03-11,-34.18%
84,2019-03-04,17.49%
85,2019-02-25,0.0%
86,2019-02-18,-5.99%
87,2019-02-11,16.09%
88,2019-02-04,-21.24%
89,2019-01-28,2.99%
90,2019-01-21,0.0%
91,2019-01-14,19.38%
92,2019-01-07,-28.96%
93,2018-12-31,23.73%
94,2018-12-24,-27.22%
95,2018-12-17,-3.93%
96,2018-12-10,14.71%
97,2018-12-03,-3.94%
98,2018-11-26,11.37%
99,2018-11-19,-31.55%
100,2018-11-12,15.45%
101,2018-11-05,4.33%
102,2018-10-29,12.06%
103,2018-10-22,-20.57%
104,2018-10-15,8.06%
105,2018-10-08,-2.06%
106,2018-10-01,-35.86%
107,2018-09-24,3.35%
108,2018-09-17,30.38%
109,2018-09-10,-1.66%
110,2018-09-03,2.17%
111,2018-08-27,-7.78%
112,2018-08-20,12.89%
113,2018-08-13,-43.79%
114,2018-08-06,-4.12%
115,2018-07-30,-2.77%
116,2018-07-23,27.69%
117,2018-07-16,-12.23%
118,2018-07-09,-24.17%
119,2018-07-02,29.77%
120,2018-06-25,-47.83%
121,2018-06-18,33.09%
122,2018-06-11,-33.52%
123,2018-06-04,26.34%
124,2018-05-28,-10.61%
125,2018-05-21,-5.05%
126,2018-05-14,-17.79%
127,2018-05-07,20.0%
128,2018-04-30,-44.39%
129,2018-04-23,28.62%
130,2018-04-16,-22.28%
131,2018-04-09,6.88%
132,2018-04-02,17.83%
133,2018-03-26,-13.76%
134,2018-03-19,-5.58%
135,2018-03-12,-15.86%
136,2018-03-05,11.41%
137,2018-02-26,-3.86%
138,2018-02-19,-16.12%
139,2018-02-12,18.15%
140,2018-02-05,-22.61%
141,2018-01-29,16.31%
142,2018-01-22,-11.44%
143,2018-01-15,19.77%
144,2018-01-08,-10.9%
145,2018-01-01,
146,2017-12-11,12.01%
147,2017-12-04,-3.32%
0,2017-11-27,
1,2020-11-09,-24.69%
2,2020-11-02,17.33%
3,2020-10-26,-41.92%
4,2020-10-19,17.72%
5,2020-10-12,-15.9%
6,2020-10-05,19.91%
7,2020-09-28,-43.09%
8,2020-09-21,28.19%
9,2020-09-14,-31.18%
10,2020-09-07,-9.84%
11,2020-08-31,24.25%
12,2020-08-24,-21.67%
13,2020-08-17,29.96%
14,2020-08-10,-39.31%
15,2020-08-03,-3.73%
16,2020-07-27,-3.6%
17,2020-07-20,28.96%
18,2020-07-13,-44.02%
19,2020-07-06,-7.55%
20,2020-06-29,15.44%
21,2020-06-22,9.13%
22,2020-06-15,
23,2020-06-01,-42.54%
24,2020-05-25,31.4%
25,2020-05-18,
26,2020-04-27,6.19%
27,2020-04-20,-27.47%
28,2020-04-13,
29,2020-03-30,-22.03%
30,2020-03-23,9.72%
31,2020-03-16,
32,2020-02-10,-16.98%
33,2020-02-03,14.11%
34,2020-01-27,
35,2019-11-18,22.78%
36,2019-11-11,-31.15%
37,2019-11-04,15.83%
38,2019-10-28,-28.71%
39,2019-10-21,
40,2019-10-07,-4.87%
41,2019-09-30,-24.05%
42,2019-09-23,-0.68%
43,2019-09-16,-1.01%
44,2019-09-09,22.74%
45,2019-09-02,-14.72%
46,2019-08-26,3.4%
47,2019-08-19,-0.78%
48,2019-08-12,20.93%
49,2019-08-05,4.9%
50,2019-07-29,-32.47%
51,2019-07-22,-3.89%
52,2019-07-15,16.85%
53,2019-07-08,10.81%
54,2019-07-01,-16.67%
55,2019-06-24,9.52%
56,2019-06-17,-2.39%
57,2019-06-10,-11.21%
58,2019-06-03,18.49%
59,2019-05-27,-31.96%
60,2019-05-20,16.41%
61,2019-05-13,-16.82%
62,2019-05-06,-3.6%
63,2019-04-29,7.72%
64,2019-04-22,-13.81%
65,2019-04-15,1.1%
66,2019-04-08,29.74%
67,2019-04-01,-18.52%
68,2019-03-25,-16.96%
69,2019-03-18,-7.63%
70,2019-03-11,19.86%
71,2019-03-04,-8.85%
72,2019-02-25,6.5%
73,2019-02-18,-21.74%
74,2019-02-11,13.21%
75,2019-02-04,21.81%
76,2019-01-28,-7.37%
77,2019-01-21,2.45%
78,2019-01-14,-15.08%
79,2019-01-07,-5.24%
80,2018-12-31,8.71%
81,2018-12-24,3.18%
82,2018-12-17,
83,2018-11-05,
84,2018-07-16,3.51%
85,2018-07-09,-15.45%
86,2018-07-02,21.65%
87,2018-06-25,-16.08%
88,2018-06-18,25.54%
89,2018-06-11,-33.14%
90,2018-06-04,0.87%
91,2018-05-28,14.98%
92,2018-05-21,-7.25%
93,2018-05-14,-9.18%
94,2018-05-07,-10.62%
95,2018-04-30,-13.6%
96,2018-04-23,0.7%
97,2018-04-16,25.53%
98,2018-04-09,-26.67%
99,2018-04-02,17.67%
100,2018-03-26,-12.33%
101,2018-03-19,19.11%
102,2018-03-12,-15.58%
103,2018-03-05,16.52%
104,2018-02-26,21.35%
105,2018-02-19,-18.54%
106,2018-02-12,-19.55%
107,2018-02-05,36.45%
108,2018-01-29,-69.12%
109,2018-01-22,6.52%
110,2018-01-15,-6.98%
111,2018-01-08,30.43%
112,2018-01-01,-13.12%
113,2017-12-25,-25.41%
114,2017-12-18,-1.32%
115,2017-12-11,29.57%
116,2017-12-04,0.0%
0,2017-11-27,
1,2020-11-09,-56.3%
2,2020-11-02,30.11%
3,2020-10-26,-38.46%
4,2020-10-19,21.11%
5,2020-10-12,3.52%
6,2020-10-05,-32.85%
7,2020-09-28,16.48%
8,2020-09-21,-23.03%
9,2020-09-14,10.7%
10,2020-09-07,-8.98%
11,2020-08-31,-10.44%
12,2020-08-24,1.49%
13,2020-08-17,15.66%
14,2020-08-10,29.94%
15,2020-08-03,-6.84%
16,2020-07-27,-48.8%
17,2020-07-20,-2.69%
18,2020-07-13,17.8%
19,2020-07-06,25.48%
20,2020-06-29,-32.48%
21,2020-06-22,30.32%
22,2020-06-15,-4.63%
23,2020-06-08,3.54%
24,2020-06-01,-73.39%
25,2020-05-25,16.93%
26,2020-05-18,-19.75%
27,2020-05-11,19.15%
28,2020-05-04,-21.05%
29,2020-04-27,33.7%
30,2020-04-20,-44.26%
31,2020-04-13,22.73%
32,2020-04-06,-40.44%
33,2020-03-30,13.61%
34,2020-03-23,32.12%
35,2020-03-16,-61.61%
36,2020-03-09,11.05%
37,2020-03-02,4.97%
38,2020-02-24,15.03%
39,2020-02-17,16.15%
40,2020-02-10,-77.98%
41,2020-02-03,34.54%
42,2020-01-27,1.57%
43,2020-01-20,-32.8%
44,2020-01-13,-17.47%
45,2020-01-06,25.13%
46,2019-12-30,-8.22%
47,2019-12-23,30.38%
48,2019-12-16,-37.27%
49,2019-12-09,-29.8%
50,2019-12-02,7.14%
51,2019-11-25,38.46%
52,2019-11-18,-81.25%
53,2019-11-11,-4.93%
54,2019-11-04,19.25%
55,2019-10-28,16.28%
56,2019-10-21,-55.56%
57,2019-10-14,5.36%
58,2019-10-07,0.47%
59,2019-09-30,23.7%
60,2019-09-23,-46.58%
61,2019-09-16,30.93%
62,2019-09-09,-26.38%
63,2019-09-02,1.46%
64,2019-08-26,-6.9%
65,2019-08-19,25.81%
66,2019-08-12,-48.45%
67,2019-08-05,11.3%
68,2019-07-29,16.98%
69,2019-07-22,-17.05%
70,2019-07-15,15.53%
71,2019-07-08,-39.66%
72,2019-07-01,13.99%
73,2019-06-24,-7.66%
74,2019-06-17,6.67%
75,2019-06-10,0.48%
76,2019-06-03,-11.48%
77,2019-05-27,0.86%
78,2019-05-20,17.32%
79,2019-05-13,
80,2019-04-29,-8.47%
81,2019-04-22,6.25%
82,2019-04-15,15.83%
83,2019-04-08,-0.99%
84,2019-04-01,12.75%
85,2019-03-25,7.87%
86,2019-03-18,-53.05%
87,2019-03-11,29.08%
88,2019-03-04,7.87%
89,2019-02-25,-26.22%
90,2019-02-18,5.8%
91,2019-02-11,-19.49%
92,2019-02-04,5.58%
93,2019-01-28,-2.73%
94,2019-01-21,-1.33%
95,2019-01-14,10.04%
96,2019-01-07,12.14%
97,2018-12-31,-14.92%
98,2018-12-24,22.6%
99,2018-12-17,1.86%
100,2018-12-10,-45.57%
101,2018-12-03,40.87%
102,2018-11-26,-58.82%
103,2018-11-19,28.7%
104,2018-11-12,-1.3%
105,2018-11-05,-14.74%
106,2018-10-29,8.38%
107,2018-10-22,-4.88%
108,2018-10-15,15.7%
109,2018-10-08,-31.72%
110,2018-10-01,26.18%
111,2018-09-24,-17.02%
112,2018-09-17,-27.27%
113,2018-09-10,23.33%
114,2018-09-03,14.91%
115,2018-08-27,-19.71%
116,2018-08-20,-39.02%
117,2018-08-13,33.33%
118,2018-08-06,-33.55%
119,2018-07-30,-12.32%
120,2018-07-23,35.09%
121,2018-07-16,-12.84%
122,2018-07-09,-27.54%
123,2018-07-02,34.27%
124,2018-06-25,-16.43%
125,2018-06-18,-26.99%
126,2018-06-11,40.58%
127,2018-06-04,-1.63%
128,2018-05-28,-24.8%
129,2018-05-21,-8.33%
130,2018-05-14,-11.24%
131,2018-05-07,35.64%
132,2018-04-30,-52.89%
133,2018-04-23,8.65%
134,2018-04-16,-33.14%
135,2018-04-09,8.89%
136,2018-04-02,27.32%
